date,symbol,margin_balance,short_balance,day_trade_volume,total_volume
2026-07-13,00898,510.0,,,888451.0
2026-07-13,00899,63.0,,,34935.0
2026-07-13,00900,306.0,,,3463221.0
2026-07-13,00901,2.0,,,275917.0
2026-07-13,00902,2494.0,,,2426267.0
2026-07-13,00903,20.0,,,93896.0
2026-07-13,00904,685.0,,,1430687.0
2026-07-13,00905,349.0,,,1929994.0
2026-07-13,00907,199.0,,,1453418.0
2026-07-13,00909,1066.0,,,479395.0
2026-07-13,00910,3180.0,,,755780.0
2026-07-13,00911,155.0,,,451587.0
2026-07-13,00912,42.0,,,355831.0
2026-07-13,00913,1029.0,,,1523383.0
2026-07-13,00915,27.0,,,2064031.0
2026-07-13,00916,797.0,,,1345225.0
2026-07-13,00917,86.0,,,695305.0
2026-07-13,00918,5255.0,,,16384202.0
2026-07-13,00919,7899.0,,,61544656.0
2026-07-13,00920,27.0,,,324133.0
2026-07-13,00921,2.0,,,290921.0
2026-07-13,00922,1454.0,,,3891276.0
2026-07-13,00923,187.0,,,2024378.0
2026-07-13,00924,113.0,,,2053805.0
2026-07-13,00926,27.0,,,747031.0
2026-07-13,00927,13348.0,,,29720293.0
2026-07-13,00929,4375.0,,,15938397.0
2026-07-13,00930,21.0,,,853951.0
2026-07-13,00932,2.0,,,442160.0
2026-07-13,00934,595.0,,,1861171.0
2026-07-13,00935,5755.0,,,9663209.0
2026-07-13,00936,14.0,,,4962996.0
2026-07-13,00938,6.0,,,2130027.0
2026-07-13,00939,149.0,,,2554105.0
2026-07-13,00940,1335.0,,,13006399.0
2026-07-13,00941,285.0,,,2015456.0
2026-07-13,00943,27.0,,,715323.0
2026-07-13,00944,9.0,,,235459.0
2026-07-13,00945B,306.0,,,2727372.0
2026-07-13,00946,579.0,,,3392659.0
2026-07-13,00947,7640.0,,,5156783.0
2026-07-13,00949,76.0,,,548414.0
2026-07-13,00951,1333.0,,,4308095.0
2026-07-13,00952,452.0,,,3035458.0
